pl_name,hostname,default_flag,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,pl_insol,pl_eqt,st_teff,st_rad,st_mass,sy_dist,g_fraction,intensity_index
CoRoT-22 b,CoRoT-22,1,9.75598,0.092,4.88,12.2,0.077,,885,5939,1.136,1.099,627.158,0.7700683077,3
CoRoT-24 b,CoRoT-24,1,5.1134,0.056,3.7,5.7,0,,1070,4950,0.86,0.91,591.555,0.6258647202,4
CoRoT-25 b,CoRoT-25,1,4.86069,0.0578,12.11,85.81,0,,1330,6040,1.19,1.09,1103.48,0.879546246,2
CoRoT-25 b,CoRoT-25,0,4.86069,0.05789,12.10572,93.12419,0.22,,,6040,1.19,1.09,1103.48,0.9551912217,1
CoRoT-5 b,CoRoT-5,0,4.0378962,0.04963,15.558092,151.92274,0.087,,,6100,1.186,1,882.472,0.9434506274,2
CoRoT-5 b,CoRoT-5,1,4.0378962,0.04947,15.558,148.42,0.09,,1438,6100,1.186,1,882.472,0.9217092726,2
EPIC 211945201 b,EPIC 211945201,0,19.491,,5.5,11,,101,809,6019,1.387,1.17,181.69,0.5466084861,5
EPIC 220674823 c,EPIC 220674823,0,13.33918,,3.01,5,,71,740,5496,0.995,0.91,244.59,0.8295567028,3
EPIC 249893012 d,EPIC 249893012,1,35.747,0.22,3.94,10.18,0.15,53,752,5430,1.71,1.05,321.296,0.9857445804,1
GJ 3470 b,GJ 3470,0,3.33665,0.03557,4.83,13.9,,,,3600,0.568,0.539,29.4214,0.8956320007,2
GJ 9827 c,GJ 9827,0,3.6480957,0.03925,1.241,0.84,0,,,4340,0.602,0.606,29.661,0.8198696061,3
GJ 9827 d,GJ 9827,0,6.20142,0.0611,2.04,2.35,,29,646,4219,0.622,0.637,29.661,0.8488219294,2
HAT-P-12 b,HAT-P-12,0,3.21305992,0.03767,10.301071,63.88383,,,955,4665,0.679,0.691,142.751,0.9049722201,2
HAT-P-12 b,HAT-P-12,1,3.2130598,0.0384,10.749,67.059,0,,963,4650,0.701,0.733,142.751,0.8724288341,2
HAT-P-12 b,HAT-P-12,0,3.21305929,0.03838,10.749431,66.235772,0.035,,,4650,0.701,0.73,142.751,0.8616496451,2
HAT-P-12 b,HAT-P-12,0,3.2130579,,10.637341,67.06213,0,,975,4650,0.701,0.733,142.751,0.8908821219,2
HAT-P-12 b,HAT-P-12,0,3.21,,10.76064,66.7443,,,960,4652.87,0.703594,0.74,142.751,0.8664570542,2
HAT-P-18 b,HAT-P-18,0,5.508023,0.05596,11.152955,63.566,0.087,,,4803,0.749,0.77,161.4,0.7681641721,3
HAT-P-18 b,HAT-P-18,0,5.507978,0.0559,10.614923,62.29468,0.009,,841,4870,0.717,0.77,161.4,0.8310484171,3
HAT-P-18 b,HAT-P-18,1,5.508023,0.0559,11.153,62.61,0.084,,852,4803,0.749,0.77,161.4,0.7566052719,3
HAT-P-19 b,HAT-P-19,0,4.008778,0.04664,12.688588,90.26372,0.024,,,4990,0.82,0.842,202.078,0.8427440589,2
HAT-P-19 b,HAT-P-19,0,4.008778,0.0466,12.689,92.802,0.067,,1010,4990,0.82,0.842,202.078,0.8663863569,2
HAT-P-26 b,HAT-P-26,1,4.23452,,7.06167,22.2481,0.12,,,5079,0.87,1.12,141.837,0.6706364501,4
HAT-P-26 b,HAT-P-26,0,4.234516,0.0479,6.333,18.751,0.124,,1001,5079,0.788,0.816,141.837,0.7027721157,4
HAT-P-32 b,HAT-P-32,1,2.1500082,0.03397,22.19382,216.1244,0.159,1841,1835.7,6001,1.367,1.132,289.205,0.6595515502,4
HAT-P-32 b,HAT-P-32,0,2.15000825,0.03427,20.052901,238.3725,0.044,,,6207,1.219,1.16,289.205,0.8910678931,2
HAT-P-33 b,HAT-P-33,0,3.474474,0.04995,18.898374,209.7678,0.22,,,6446,1.637,1.375,396.11,0.8828745709,2
HAT-P-39 b,HAT-P-39,0,3.54387,0.05095,17.609339,180.84527,0.17,,,6430,1.625,1.404,697.004,0.8766578167,2
HAT-P-39 b,HAT-P-39,1,3.54387,0.0509,17.609,190.372,0,,1752,6430,1.625,1.404,697.004,0.9228747191,2
HAT-P-40 b,HAT-P-40,0,4.457243,0.06076,19.39157,184.65923,0.12,,,6080,2.206,1.512,464.469,0.7381661729,3
HAT-P-40 b,HAT-P-40,1,4.45724,,17.03768,152.5584,0,,,6080,1.94,1.03,464.469,0.7899948766,3
HAT-P-40 b,HAT-P-40,0,4.457243,0.0608,19.392,195.457,0,,1770,6080,2.206,1.512,464.469,0.7812950762,3
HAT-P-44 b,HAT-P-44,1,4.301219,0.0507,13.922,111.871,0.044,,1108,5295,0.949,0.942,347.85,0.8676075547,2
HAT-P-51 b,HAT-P-51,0,4.2180278,0.05067,14.493237,98.84513,0.07,,,5449,1.041,0.976,440.089,0.7073486883,4
HAT-P-51 b,HAT-P-51,1,4.21802091,0.05042,13.50682174,97.57332095,,310,1168.2,5453,0.995,0.961,440.089,0.8039588383,3
HAT-P-51 b,HAT-P-51,0,4.2180278,0.05069,14.493237,98.20947,0.123,,1192,5449,1.041,0.976,440.089,0.7027998221,4
HAT-P-58 b,HAT-P-58,1,4.0138379,0.04994,14.93036229,118.2321674,0.073,1146,1622,6078,1.53,1.031,515.59,0.7972674295,3
HAT-P-60 b,HAT-P-60,1,4.7947813,0.06277,18.28184752,182.4335056,0.25,1634,1772,6212,2.197,1.435,233.22,0.8204903969,3
HAT-P-64 b,HAT-P-64,1,4.007232,0.05387,19.08889413,184.3404761,0.101,1611,1766,6457,1.735,1.298,651.897,0.7604457375,3
HAT-P-65 b,HAT-P-65,1,2.60544751,0.04042,18.05766791,176.0769375,,1821,1818,5872,1.666,1.297,738.519,0.8116863001,3
HAT-P-65 b,HAT-P-65,0,2.6054552,0.03951,21.18501,167.49641,0.304,,1930,5835,1.86,1.212,738.519,0.560992713,5
HAT-P-67 b,HAT-P-67,1,4.8101025,0.06505,23.370765,108.0622,0,,1903,6406,2.546,1.642,371.686,0.2973972934,7
